#=====================================================
# File created:        Tue-29-Oct-2024-at-01-04-26AM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.330
# Run time (s):        0.361829
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -426.5943  0.2817 
   00001    0.6525    -570.2970  0.2664 
   00002    0.6450    -691.4295  0.2850 
   00003    0.6300    -793.3029  0.3049 
   00004    0.5850    -854.4201  0.3128 
   00005    0.5575    -912.3286  0.3169 
   00006    0.5775    -944.6922  0.3220 
   00007    0.5350    -993.3634  0.3270 
   00008    0.4975   -1034.8804  0.3280 
   00009    0.5075   -1087.8590  0.3090 
   00010    0.4775   -1114.0991  0.3153 
   00011    0.4625   -1136.6170  0.2989 
   00012    0.5050   -1153.2152  0.2937 
   00013    0.5150   -1162.8272  0.2986 
   00014    0.4700   -1188.6584  0.2967 
   00015    0.5350   -1192.4825  0.3037 
   00016    0.4825   -1206.8328  0.3007 
   00017    0.4575   -1207.0020  0.3076 
   00018    0.5150   -1210.0009  0.3067 
   00019    0.5025   -1224.2294  0.3390 
   00020    0.4550   -1230.9943  0.3442 
   00021    0.4825   -1214.3098  0.3428 
   00022    0.4875   -1213.1211  0.3397 
   00023    0.5175   -1221.8652  0.3434 
   00024    0.4900   -1228.9338  0.3326 
   00025    0.5050   -1250.2591  0.3333 
   00026    0.4625   -1250.0081  0.3439 
   00027    0.5000   -1249.6917  0.3668 
   00028    0.4400   -1257.5151  0.3627 
   00029    0.4300   -1275.4697  0.3663 
   00030    0.4675   -1300.8670  0.3694 
   00031    0.4725   -1304.0988  0.3682 
   00032    0.4625   -1295.5534  0.3570 
   00033    0.4500   -1305.0573  0.3662 
   00034    0.4400   -1309.1471  0.3482 
   00035    0.4375   -1310.2752  0.3418 
   00036    0.4325   -1302.8803  0.3381 
   00037    0.4350   -1300.1191  0.3359 
   00038    0.4650   -1294.1443  0.3562 
   00039    0.5200   -1301.5100  0.3706 
   00040    0.4825   -1302.0007  0.3694 
   00041    0.4550   -1301.9096  0.3564 
   00042    0.4850   -1296.4361  0.3557 
   00043    0.4700   -1291.4151  0.3494 
   00044    0.4800   -1290.8204  0.3590 
   00045    0.4625   -1292.6865  0.3622 
   00046    0.4675   -1299.6876  0.3562 
   00047    0.4825   -1298.8853  0.3571 
   00048    0.4625   -1298.3326  0.3465 
   00049    0.4675   -1297.3569  0.3479 
   00050    0.4825   -1311.0409  0.3361 
   00051    0.4725   -1310.6492  0.3322 
   00052    0.4900   -1315.9879  0.3345 
   00053    0.4500   -1305.9915  0.3347 
   00054    0.4400   -1309.0234  0.3460 
   00055    0.4425   -1309.9211  0.3540 
   00056    0.4950   -1303.9659  0.3576 
   00057    0.5100   -1309.3518  0.3637 
   00058    0.4250   -1306.3309  0.3635 
   00059    0.4250   -1308.2361  0.3715 
   00060    0.4750   -1317.7306  0.3756 
   00061    0.4700   -1310.4083  0.3717 
   00062    0.4625   -1327.7857  0.3645 
   00063    0.4850   -1334.1678  0.3727 
   00064    0.4425   -1331.5240  0.3680 
   00065    0.4775   -1344.7787  0.3724 
   00066    0.4275   -1334.5129  0.3518 
   00067    0.4825   -1342.4514  0.3503 
   00068    0.4550   -1342.0486  0.3589 
   00069    0.4425   -1344.6478  0.3695 
   00070    0.4825   -1349.3322  0.3670 
   00071    0.4325   -1345.4794  0.3586 
   00072    0.4575   -1337.5035  0.3591 
   00073    0.4775   -1339.7213  0.3665 
   00074    0.4675   -1343.1198  0.3722 
   00075    0.4500   -1338.9405  0.3640 
   00076    0.4450   -1347.8611  0.3706 
   00077    0.4575   -1335.5369  0.3632 
   00078    0.4525   -1340.7547  0.3590 
   00079    0.4175   -1336.5081  0.3455 
   00080    0.4575   -1327.9041  0.3522 
   00081    0.4425   -1317.6050  0.3439 
   00082    0.4475   -1335.0528  0.3546 
   00083    0.4900   -1341.5979  0.3551 
   00084    0.4775   -1328.1325  0.3522 
   00085    0.4725   -1333.8306  0.3634 
   00086    0.4450   -1339.0569  0.3669 
   00087    0.4275   -1356.8339  0.3530 
   00088    0.4600   -1366.1620  0.3522 
   00089    0.4350   -1355.4004  0.3472 
   00090    0.4550   -1345.5079  0.3567 
   00091    0.4525   -1337.1930  0.3711 
   00092    0.4475   -1337.1283  0.3752 
   00093    0.5225   -1331.1454  0.3776 
   00094    0.4750   -1341.1055  0.3693 
   00095    0.4700   -1346.5753  0.3745 
   00096    0.4200   -1351.1764  0.3796 
   00097    0.4600   -1348.8238  0.3752 
   00098    0.4325   -1346.9365  0.3743 
   00099    0.4650   -1350.8003  0.3764 
   00100    0.4425   -1351.3873  0.3854 
