#=====================================================
# File created:        Tue-29-Oct-2024-at-01-05-37AM
# Size of lattice:     40x40
# Number of MC steps:  100
# Reduced temperature: 0.660
# Run time (s):        1.331080
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1480.1179  0.2671 
   00001    0.6681   -2364.4659  0.2750 
   00002    0.6269   -2934.0943  0.2817 
   00003    0.5569   -3315.6800  0.2882 
   00004    0.5256   -3491.7783  0.3058 
   00005    0.5269   -3621.5463  0.3013 
   00006    0.5188   -3726.4230  0.2916 
   00007    0.5006   -3841.9909  0.3028 
   00008    0.5075   -3865.7176  0.3007 
   00009    0.4925   -3922.2982  0.3018 
   00010    0.4606   -4037.8548  0.3102 
   00011    0.4956   -4153.1230  0.3160 
   00012    0.4669   -4216.9121  0.3169 
   00013    0.4444   -4246.9378  0.3326 
   00014    0.4694   -4250.5402  0.3427 
   00015    0.4644   -4264.8361  0.3458 
   00016    0.4637   -4320.5860  0.3601 
   00017    0.4756   -4376.3924  0.3625 
   00018    0.4637   -4412.6745  0.3681 
   00019    0.4500   -4377.3048  0.3719 
   00020    0.4587   -4454.2801  0.3756 
   00021    0.4369   -4485.3754  0.3717 
   00022    0.4475   -4448.2517  0.3650 
   00023    0.4369   -4465.6842  0.3759 
   00024    0.4581   -4486.8202  0.3808 
   00025    0.4256   -4535.3836  0.3848 
   00026    0.4400   -4517.8713  0.3762 
   00027    0.4325   -4553.8543  0.3786 
   00028    0.4575   -4618.5120  0.3743 
   00029    0.4281   -4615.2059  0.3750 
   00030    0.4231   -4611.8129  0.3637 
   00031    0.4331   -4585.1719  0.3581 
   00032    0.4525   -4537.2633  0.3608 
   00033    0.4394   -4530.8647  0.3667 
   00034    0.4487   -4522.2689  0.3545 
   00035    0.4231   -4551.6169  0.3433 
   00036    0.4487   -4622.7161  0.3329 
   00037    0.4281   -4613.8163  0.3312 
   00038    0.4306   -4561.7046  0.3301 
   00039    0.4369   -4605.8063  0.3209 
   00040    0.4419   -4599.4825  0.3159 
   00041    0.4437   -4588.1244  0.3260 
   00042    0.4025   -4619.8720  0.3182 
   00043    0.4213   -4654.7949  0.3165 
   00044    0.4281   -4637.3629  0.3109 
   00045    0.4456   -4632.8578  0.3086 
   00046    0.4369   -4635.4130  0.3057 
   00047    0.4263   -4720.8682  0.3178 
   00048    0.4263   -4707.0815  0.3279 
   00049    0.4425   -4692.0487  0.3268 
   00050    0.4400   -4681.6971  0.3200 
   00051    0.4281   -4662.6917  0.3225 
   00052    0.4150   -4694.2513  0.3252 
   00053    0.4250   -4719.7804  0.3254 
   00054    0.4050   -4702.1282  0.3229 
   00055    0.4288   -4702.9151  0.3156 
   00056    0.4394   -4768.5874  0.3142 
   00057    0.4375   -4720.0591  0.3040 
   00058    0.4375   -4743.3909  0.3095 
   00059    0.4225   -4715.2763  0.3093 
   00060    0.4050   -4722.0293  0.3091 
   00061    0.4369   -4670.2994  0.3078 
   00062    0.4331   -4726.6978  0.3069 
   00063    0.4131   -4724.9989  0.3055 
   00064    0.4450   -4709.0849  0.3120 
   00065    0.4150   -4708.6404  0.3005 
   00066    0.4250   -4660.8764  0.2987 
   00067    0.4269   -4727.1210  0.2951 
   00068    0.4206   -4741.1924  0.2993 
   00069    0.4256   -4728.1584  0.3051 
   00070    0.4188   -4710.9483  0.3115 
   00071    0.4125   -4726.1496  0.3122 
   00072    0.4369   -4733.9571  0.3074 
   00073    0.4369   -4709.3805  0.2980 
   00074    0.4269   -4647.0377  0.3086 
   00075    0.4387   -4690.7354  0.3034 
   00076    0.4400   -4630.4993  0.2920 
   00077    0.4350   -4678.9434  0.2849 
   00078    0.4387   -4675.3651  0.2956 
   00079    0.4294   -4648.6338  0.2918 
   00080    0.4181   -4671.0626  0.2906 
   00081    0.4256   -4641.6030  0.2933 
   00082    0.4450   -4659.1345  0.3038 
   00083    0.4306   -4667.6169  0.3103 
   00084    0.4219   -4733.2371  0.3144 
   00085    0.4088   -4743.1627  0.3141 
   00086    0.4288   -4726.2332  0.3143 
   00087    0.4350   -4721.6542  0.3182 
   00088    0.4125   -4686.1832  0.3209 
   00089    0.4431   -4716.4168  0.3241 
   00090    0.4288   -4711.9006  0.3315 
   00091    0.4419   -4673.8638  0.3371 
   00092    0.4344   -4711.0690  0.3321 
   00093    0.4131   -4744.9676  0.3203 
   00094    0.4475   -4702.0514  0.3206 
   00095    0.4062   -4665.2110  0.3098 
   00096    0.4344   -4706.2977  0.3164 
   00097    0.4381   -4723.8042  0.3100 
   00098    0.4225   -4697.0055  0.3092 
   00099    0.4206   -4706.2254  0.3143 
   00100    0.4188   -4735.5419  0.3080 
